text,original,tess,tess_match,smol,smol_match
0116GPD,True,01166PD,6,,0
0116GPD,False,601166PD,1,,0
0116GPD,False,0II66PD,4,,0
0116GPD,False,4EEDERN,0,,0
0116GPD,False,1DPGN6110E,0,,0
0116GPD,False,S1DE7TDE1QEERDKLMPQA,2,,0
0116GPD,False,0116PD,4,,0
