frame,tipo_objeto,confianza,track_id,x1,y1,x2,y2,plate,plate_conf,mx1,my1,mx2,my2
19,car,0.14406569302082062,5,1269,312,1313,343,No,,,,,
20,bus,0.9250550270080566,1,1374,125,1826,446,322,0.6913854479789734,292,263,342,276
20,car,0.7844310402870178,2,1308,314,1370,367,No,,,,,
20,car,0.31208962202072144,3,1227,316,1261,341,No,,,,,
20,car,0.1572127789258957,5,1270,313,1311,343,No,,,,,
21,bus,0.9190276861190796,1,1372,127,1816,444,302,0.7740591168403625,286,260,336,272
21,car,0.7531192898750305,2,1308,313,1369,368,No,,,,,
21,car,0.34049567580223083,3,1227,317,1261,341,No,,,,,
21,car,0.1729499250650406,5,1270,314,1312,344,No,,,,,
22,bus,0.9185993671417236,1,1371,132,1809,442,30,0.7189171314239502,279,255,327,266
22,car,0.7301621437072754,2,1308,313,1368,368,No,,,,,
22,car,0.364658921957016,3,1226,317,1261,341,No,,,,,
22,car,0.18339315056800842,5,1269,314,1311,344,No,,,,,
23,bus,0.9145776629447937,1,1369,135,1808,442,326,0.6271846890449524,274,252,320,262
23,car,0.7409192323684692,2,1308,313,1366,367,No,,,,,
23,car,0.3899591565132141,3,1225,316,1261,341,No,,,,,
23,car,0.1884848177433014,5,1269,314,1308,343,No,,,,,
24,bus,0.9053707122802734,1,1369,140,1804,441,32,0.43897753953933716,264,246,312,256
24,car,0.7163622379302979,2,1308,313,1366,366,No,,,,,
24,car,0.4075677990913391,3,1225,318,1261,341,No,,,,,
24,car,0.1927821785211563,5,1269,314,1303,343,No,,,,,
25,bus,0.8877766728401184,1,1368,142,1787,441,None,0.31046077609062195,261,244,291,253
25,car,0.7035932540893555,2,1308,312,1366,366,No,,,,,
25,car,0.4641158878803253,3,1225,318,1261,342,No,,,,,
25,car,0.16267380118370056,5,1269,313,1307,343,No,,,,,
26,bus,0.9046698212623596,1,1367,143,1771,441,0.2,0.7330668568611145,253,241,298,252
26,car,0.7072635293006897,2,1308,312,1365,366,No,,,,,
26,car,0.44303980469703674,3,1225,318,1261,342,No,,,,,
26,car,0.17943041026592255,5,1268,312,1309,343,No,,,,,
27,bus,0.8976153135299683,1,1366,145,1760,440,J26-,0.7987846732139587,246,238,292,249
27,car,0.6870059370994568,2,1308,311,1365,365,No,,,,,
27,car,0.45091307163238525,3,1224,318,1261,342,No,,,,,
27,car,0.1905261129140854,5,1268,312,1308,343,No,,,,,
28,bus,0.8993329405784607,1,1364,148,1745,437,None,0.5043624639511108,244,236,283,243
28,car,0.6731327176094055,2,1308,310,1364,366,No,,,,,
28,car,0.43242311477661133,3,1224,318,1261,342,No,,,,,
28,car,0.1723739206790924,5,1266,312,1307,343,No,,,,,
29,bus,0.9024990797042847,1,1363,150,1736,436,None,0.4463540315628052,239,232,279,240
29,car,0.6495718955993652,2,1307,309,1364,365,No,,,,,
29,car,0.4277251064777374,3,1224,317,1261,342,No,,,,,
29,car,0.14760196208953857,5,1266,311,1307,343,No,,,,,
30,bus,0.8954609036445618,1,1363,152,1731,437,None,0.4811379909515381,231,229,272,237
30,car,0.6271340847015381,2,1307,308,1362,365,No,,,,,
30,car,0.40144971013069153,3,1224,317,1261,342,No,,,,,
30,car,0.15785765647888184,5,1264,311,1305,343,No,,,,,
31,bus,0.90328049659729,1,1361,153,1727,433,None,0.6048653721809387,228,227,270,236
31,car,0.6198740601539612,2,1306,307,1359,364,No,,,,,
31,car,0.35567107796669006,3,1225,317,1260,342,No,,,,,
31,car,0.13799408078193665,5,1263,310,1304,343,No,,,,,
32,bus,0.8906958103179932,1,1360,155,1726,430,None,0.44347697496414185,223,224,256,232
32,car,0.6379942893981934,2,1305,308,1357,363,No,,,,,
32,car,0.29229652881622314,3,1226,318,1260,341,No,,,,,
32,car,0.13776090741157532,5,1262,310,1303,343,No,,,,,
