track_id,tipo_objeto,confianza,flujo
1,car,0.10874079912900925,izquierda
2,car,0.128417506814003,izquierda
3,car,0.11371965706348419,izquierda
4,car,0.25685128569602966,derecha
5,car,0.10660822689533234,izquierda
41,car,0.14266420900821686,izquierda
42,person,0.3018088638782501,derecha
44,person,0.20471660792827606,derecha
48,car,0.11177049577236176,izquierda
52,car,0.20224586129188538,izquierda
55,car,0.2639976143836975,derecha
65,car,0.16022470593452454,izquierda
66,car,0.2910235524177551,izquierda
73,car,0.24503102898597717,derecha
82,car,0.22803612053394318,derecha
104,car,0.1468726247549057,izquierda
108,car,0.2903752326965332,izquierda
109,person,0.12822602689266205,derecha
110,car,0.3433802127838135,estatica
117,person,0.14544451236724854,derecha
119,person,0.25104716420173645,derecha
141,car,0.18600581586360931,izquierda
147,car,0.27347224950790405,izquierda
154,car,0.3851449489593506,izquierda
159,car,0.10783465951681137,izquierda
166,car,0.20683318376541138,izquierda
179,car,0.1336270421743393,derecha
182,motorbike,0.2786906063556671,izquierda
186,car,0.4068467915058136,izquierda
222,car,0.1274082511663437,derecha
224,car,0.48699840903282166,derecha
242,car,0.2352077215909958,izquierda
245,person,0.12401939183473587,izquierda
247,car,0.10439236462116241,izquierda
254,car,0.1841117888689041,izquierda
262,car,0.4844365417957306,derecha
264,car,0.22761517763137817,izquierda
265,car,0.21120797097682953,izquierda
269,car,0.1704769730567932,derecha
288,car,0.13071221113204956,izquierda
289,car,0.7977741360664368,izquierda
292,person,0.3129832446575165,derecha
295,car,0.12955611944198608,derecha
297,person,0.22459208965301514,derecha
327,car,0.1704556792974472,derecha
328,car,0.14274972677230835,derecha
333,car,0.3292086720466614,izquierda
338,car,0.380508691072464,izquierda
342,person,0.16694368422031403,derecha
345,person,0.1285051703453064,derecha
368,car,0.1938479095697403,izquierda
383,car,0.16965265572071075,derecha
384,person,0.12090015411376953,estatica
388,car,0.47720080614089966,izquierda
404,car,0.10426091402769089,izquierda
406,car,0.10620252788066864,derecha
417,car,0.3388398587703705,izquierda
433,car,0.15043790638446808,derecha
444,car,0.13141599297523499,derecha
454,car,0.49174216389656067,izquierda
456,car,0.16760827600955963,izquierda
462,car,0.269153356552124,izquierda
465,motorbike,0.531599760055542,derecha
473,car,0.21808840334415436,derecha
475,car,0.10719116032123566,izquierda
492,car,0.3280816972255707,izquierda
496,car,0.1608453392982483,derecha
502,car,0.3229823112487793,derecha
504,car,0.22898922860622406,izquierda
528,car,0.10299821197986603,izquierda
532,person,0.17345023155212402,derecha
549,person,0.42413952946662903,izquierda
550,car,0.10361931473016739,derecha
551,person,0.1793537586927414,derecha
569,car,0.8155637979507446,izquierda
577,car,0.2975536584854126,derecha
585,car,0.12823283672332764,derecha
595,car,0.10478998720645905,izquierda
597,car,0.20597775280475616,derecha
604,car,0.1305522322654724,izquierda
607,car,0.18776410818099976,izquierda
